Anomaly Scores,Protocol,Packet Type,Traffic Type,Malware Indicators,Alerts/Warnings,Attack Signature,Action Taken,Severity Level,Network Segment,Firewall Logs,IDS/IPS Alerts,Log Source,Attack Type
0.6795509652887558,TCP,Normal,Unusual,6,7,Sig_B,Quarantined,High,Segment_9,0,5,Endpoint,DDoS
0.2897115700985166,ICMP,Malformed,Normal,3,3,Sig_B,Allowed,Medium,Segment_9,9,4,Firewall,None
0.9977628409618701,UDP,Fragmented,Suspicious,10,10,Sig_B,Blocked,High,Segment_1,2,10,Endpoint,Malware
0.6393029146921309,TCP,Fragmented,Unusual,7,6,Sig_A,Quarantined,High,Segment_4,6,6,Endpoint,DDoS
0.4969596284549733,UDP,Normal,Unusual,4,2,Sig_B,Quarantined,Medium,Segment_1,8,3,Firewall,None
0.5299498580921957,UDP,Fragmented,Unusual,6,6,Sig_A,Quarantined,High,Segment_7,0,6,Firewall,Phishing
0.9585831155890275,TCP,Fragmented,Suspicious,9,8,Sig_C,Blocked,High,Segment_3,5,8,IDS,Malware
0.18173320234937648,UDP,Malformed,Normal,2,1,Sig_A,Allowed,Low,Segment_2,10,2,Firewall,None
0.570031675307984,ICMP,Malformed,Unusual,6,7,Sig_C,Quarantined,High,Segment_8,1,7,Endpoint,Phishing
0.9444998214057037,TCP,Normal,Suspicious,10,10,Sig_A,Blocked,High,Segment_9,4,9,Firewall,Malware
1.0,ICMP,Malformed,Suspicious,10,10,Sig_A,Blocked,High,Segment_7,6,10,Firewall,Malware
0.7110745811639196,ICMP,Fragmented,Suspicious,7,9,Sig_B,Blocked,High,Segment_6,6,7,Firewall,DDoS
0.4010640218552032,UDP,Malformed,Unusual,4,3,Sig_C,Quarantined,Medium,Segment_10,9,5,Endpoint,None
0.34433661797772713,UDP,Fragmented,Normal,3,2,Sig_A,Allowed,Medium,Segment_6,6,4,IDS,None
0.6674583637185018,ICMP,Normal,Unusual,7,9,Sig_A,Quarantined,High,Segment_9,3,8,IDS,DDoS
0.7000922977615502,TCP,Fragmented,Suspicious,7,9,Sig_C,Blocked,High,Segment_5,5,7,Endpoint,DDoS
0.20281681434060606,ICMP,Malformed,Normal,2,1,Sig_A,Allowed,Low,Segment_5,10,2,IDS,None
0.47439271338259337,ICMP,Malformed,Unusual,5,5,Sig_C,Quarantined,Medium,Segment_2,9,5,IDS,Phishing
0.4599819039592957,UDP,Malformed,Unusual,4,3,Sig_C,Quarantined,Medium,Segment_6,5,4,Endpoint,None
0.0890672794252048,UDP,Malformed,Normal,1,1,Sig_C,Allowed,Low,Segment_6,6,1,Endpoint,None
0.6223433973315584,ICMP,Normal,Unusual,7,7,Sig_A,Quarantined,High,Segment_6,8,6,IDS,DDoS
0.4849251318239563,ICMP,Fragmented,Unusual,5,4,Sig_A,Quarantined,Medium,Segment_4,5,4,Firewall,Phishing
0.11245893358569486,UDP,Malformed,Normal,1,0,Sig_B,Allowed,Low,Segment_7,9,0,IDS,None
0.35532533830561963,ICMP,Fragmented,Normal,4,6,Sig_C,Allowed,Medium,Segment_9,0,5,Firewall,None
0.0,UDP,Normal,Normal,0,1,Sig_A,Allowed,Low,Segment_1,7,1,Endpoint,None
0.872687048093698,ICMP,Fragmented,Suspicious,9,8,Sig_A,Blocked,High,Segment_3,1,9,Firewall,Malware
0.561061783003348,TCP,Malformed,Unusual,5,5,Sig_C,Quarantined,Medium,Segment_10,2,5,Firewall,Phishing
0.7756420988677147,TCP,Fragmented,Suspicious,8,7,Sig_C,Blocked,High,Segment_9,4,7,Firewall,Malware
0.07145585092755155,ICMP,Malformed,Normal,0,2,Sig_C,Allowed,Low,Segment_5,5,0,Endpoint,None
0.9692524780925832,UDP,Malformed,Suspicious,10,10,Sig_B,Blocked,High,Segment_6,6,10,IDS,Malware
1.0,ICMP,Normal,Suspicious,10,10,Sig_B,Blocked,High,Segment_8,3,10,IDS,Malware
0.8776878662890124,ICMP,Normal,Suspicious,9,10,Sig_B,Blocked,High,Segment_9,2,8,Firewall,Malware
0.23770415851452362,UDP,Fragmented,Normal,2,3,Sig_C,Allowed,Low,Segment_8,8,2,IDS,None
0.544086292271736,ICMP,Fragmented,Unusual,6,4,Sig_A,Quarantined,High,Segment_3,3,7,Endpoint,Phishing
0.33714297397886156,UDP,Malformed,Normal,3,3,Sig_C,Allowed,Medium,Segment_10,8,2,Endpoint,None
0.8056934700154842,ICMP,Malformed,Suspicious,8,8,Sig_A,Blocked,High,Segment_1,8,8,Endpoint,Malware
0.16800040916112755,UDP,Malformed,Normal,2,0,Sig_B,Allowed,Low,Segment_5,10,3,Endpoint,None
0.3916889257644925,ICMP,Malformed,Normal,4,4,Sig_B,Allowed,Medium,Segment_7,2,3,IDS,None
0.27669274705160873,TCP,Normal,Normal,2,0,Sig_B,Allowed,Low,Segment_2,2,1,Firewall,None
0.6068922252440392,UDP,Malformed,Unusual,6,5,Sig_A,Quarantined,High,Segment_1,10,7,Firewall,DDoS
0.36486359920436806,TCP,Normal,Normal,4,6,Sig_A,Allowed,Medium,Segment_4,7,4,Firewall,None
0.7397653358585944,UDP,Fragmented,Suspicious,8,9,Sig_C,Blocked,High,Segment_3,0,8,Endpoint,Malware
0.6252702136715498,UDP,Fragmented,Unusual,6,4,Sig_C,Quarantined,High,Segment_4,5,6,IDS,DDoS
0.10979226235053428,UDP,Normal,Normal,1,0,Sig_C,Allowed,Low,Segment_1,5,0,IDS,None
0.33475103475441115,UDP,Malformed,Normal,3,1,Sig_B,Allowed,Medium,Segment_2,8,2,IDS,None
0.726888763015508,ICMP,Fragmented,Suspicious,8,7,Sig_C,Blocked,High,Segment_1,1,8,IDS,Malware
0.04138697735542501,ICMP,Normal,Normal,1,0,Sig_B,Allowed,Low,Segment_3,7,0,IDS,None
0.957343959962595,UDP,Fragmented,Suspicious,9,10,Sig_A,Blocked,High,Segment_4,6,8,IDS,Malware
0.816567082338967,ICMP,Malformed,Suspicious,8,10,Sig_B,Blocked,High,Segment_1,1,9,Firewall,Malware
0.9266700425618781,UDP,Normal,Suspicious,9,10,Sig_B,Blocked,High,Segment_6,0,9,Endpoint,Malware
0.3518656483946023,UDP,Fragmented,Normal,4,3,Sig_B,Allowed,Medium,Segment_2,3,4,Firewall,None
0.05095064008355407,TCP,Malformed,Normal,1,3,Sig_A,Allowed,Low,Segment_10,1,1,IDS,None
0.34956293290960444,UDP,Normal,Normal,3,3,Sig_A,Allowed,Medium,Segment_5,2,2,Endpoint,None
0.6519188827382574,UDP,Normal,Unusual,6,6,Sig_C,Quarantined,High,Segment_8,1,5,Endpoint,DDoS
0.6455840256485472,ICMP,Normal,Unusual,7,7,Sig_C,Quarantined,High,Segment_4,8,6,Endpoint,DDoS
0.13603147520735775,UDP,Normal,Normal,2,0,Sig_C,Allowed,Low,Segment_5,3,2,Endpoint,None
0.0,UDP,Fragmented,Normal,0,0,Sig_A,Allowed,Low,Segment_9,0,0,IDS,None
0.26003257733119967,TCP,Normal,Normal,3,3,Sig_A,Allowed,Medium,Segment_2,7,3,IDS,None
0.05899115604769872,ICMP,Normal,Normal,1,2,Sig_A,Allowed,Low,Segment_2,3,0,Endpoint,None
0.6374310876786303,ICMP,Normal,Unusual,7,8,Sig_A,Quarantined,High,Segment_6,9,7,IDS,DDoS
0.2765783075859817,TCP,Normal,Normal,3,1,Sig_A,Allowed,Medium,Segment_6,10,4,Endpoint,None
0.042265262868356704,UDP,Normal,Normal,1,1,Sig_B,Allowed,Low,Segment_3,10,0,IDS,None
0.44522995484953815,TCP,Malformed,Unusual,5,6,Sig_C,Quarantined,Medium,Segment_9,7,5,Endpoint,Phishing
0.5149195923283152,ICMP,Fragmented,Unusual,5,3,Sig_B,Quarantined,Medium,Segment_1,7,6,IDS,Phishing
0.8972400882856312,TCP,Malformed,Suspicious,9,9,Sig_C,Blocked,High,Segment_3,8,10,Firewall,Malware
0.32424393407660657,ICMP,Fragmented,Normal,3,2,Sig_B,Allowed,Medium,Segment_8,9,2,Firewall,None
0.4175483282325347,TCP,Normal,Unusual,5,5,Sig_A,Quarantined,Medium,Segment_8,6,5,IDS,Phishing
0.10049403049148817,UDP,Fragmented,Normal,1,1,Sig_C,Allowed,Low,Segment_4,3,0,IDS,None
1.0,UDP,Normal,Suspicious,9,10,Sig_B,Blocked,High,Segment_8,1,10,Firewall,Malware
0.08138637578572006,ICMP,Normal,Normal,1,3,Sig_C,Allowed,Low,Segment_10,5,0,IDS,None
0.9412374503286149,TCP,Malformed,Suspicious,9,8,Sig_A,Blocked,High,Segment_8,3,9,Endpoint,Malware
0.34080034243872115,ICMP,Malformed,Normal,3,2,Sig_A,Allowed,Medium,Segment_1,5,4,IDS,None
0.7432599304000638,UDP,Malformed,Suspicious,7,7,Sig_C,Blocked,High,Segment_3,7,6,IDS,DDoS
0.6083330843528661,ICMP,Fragmented,Unusual,6,7,Sig_C,Quarantined,High,Segment_1,2,5,Firewall,DDoS
0.8283042991372107,UDP,Fragmented,Suspicious,8,7,Sig_A,Blocked,High,Segment_2,0,7,Firewall,Malware
0.7349506810006502,ICMP,Malformed,Suspicious,7,7,Sig_A,Blocked,High,Segment_4,4,6,IDS,DDoS
0.43177230141571793,TCP,Malformed,Unusual,4,2,Sig_A,Quarantined,Medium,Segment_3,2,3,Endpoint,None
